Code,Chinese Name,Pinyin,English,Korean 한글,Vietnamese
LU,手太陰肺經,shǒu tàiyīn fèi jīng,Lung,수태음폐경,Thủ thái âm phế
LI,手陽明大腸經,shǒu yángmíng dàcháng jīng,Large Intestine,수양명대장경,Thủ dương minh đại trường
ST,足陽明胃經,zú yángmíng wèi jīng,Stomach,족양명위경,Túc dương minh vị
SP,足太陰脾經,zú tàiyīn pí jīng,Spleen,족태음비경,Túc thái âm tỳ
HT,手少陰心經,shǒu shǎo yīn xīnjīng,Heart,수소음심경,Thủ thiếu âm tâm
SI,手太陽小腸經,shǒu tàiyáng xiǎocháng jīng,Small Intestine,수태양소장경,Thủ thái dương tiểu trường
BL,足太陽膀胱經,zú tàiyáng pángguāng jīng,Bladder,족태양방광경,Túc thái dương bàng quang
KI,足少陰腎經,zú shǎo yīn shèn jīng,Kidney,족소음신경,Túc thiếu âm thận
PC,手厥陰心包經,shǒu juéyīn xīnbāo jīng,Pericardium,수궐음심포경,Thủ quyết âm tâm bào
TE,手少陽三焦經,shǒu shǎo yángsān jiāo jīng,Triple Energizer,수소양삼초경,Thủ thiếu dương tam tiêu
GB,足少陽膽經,zú shǎo yáng dǎn jīng,Gallbladder,족소양담경,Túc thiếu dương đởm
LR,足厥陰肝經,zú juéyīn gān jīng,Liver,족궐음간경,Túc quyết âm can
