Point,Name,Transliteration,English,Pinyin,Korean 한글,Vietnamese,Alternative names
ST-1,承泣,Chengqi,Tears Container,chéng qì,seung eup 승읍,Thừa khấp,nan
ST-2,四白,Sibai,Four Directions Brightness,sì bái,sa baek 사백,Tứ bạch,nan
ST-3,巨髎,Juliao,Large Bone Hole,jù liáo,geo ryo 거료,Cự liêu,nan
ST-4,地倉,Dicang,Earth Granary,dì cāng,ji chang 지창,Địa thương,nan
ST-5,大迎,Daying,Large Receptacle (Facial Artery),dà yíng,dae yeong 대영,Đại nghênh,nan
ST-6,頰車,Jiache,Jaw Bone,jiá chē,hyeop geo 협거,Giáp xa,nan
ST-7,下關,Xiaguan,Below the Arch,xià guān,ha gwan 하관,Hạ quan,nan
ST-8,頭維,Touwei,Head's Corner,tóu wéi,du yu 두유,Đầu duy,nan
ST-9,人迎,Renying,Man'sPrognosis (Carotid Artery),rén yíng,in yeong 인영,Nhân nghênh,Tianwuhui (Heaven's Five Meetings)[1]
ST-10,水突,Shuitu,Liquid Passage,shǔi tū,su dol 수돌,Thủy đột,nan
ST-11,氣舍,Qishe,Residence of Breath Qi,qì shè,gi sa 기사,Khí xá,nan
ST-12,缺盆,Quepen,Empty Basin,quē pén,gyeol bun 결분,Khuyết bồn,nan
ST-13,氣戶,Qihu,Door of Breath,qì hù,gi ho 기호,Khí hộ,nan
ST-14,庫房,Kufang,Breath Storeroom,kù fáng,go bang 고방,Khố phòng,nan
ST-15,屋翳,Wuyi,Hiding the Breath,wū yì,ok ye 옥예,Ốc ế,nan
ST-16,膺窗,Yingchuang,Breast Window,yìng chuāng,eung chang 응창,Ưng song,nan
ST-17,乳中,Ruzhong,Breast Centre (Nipple),rǔ zhōng,yu jung 유중,Nhũ trung,nan
ST-18,乳根,Rugen,Breast Root,rǔ gēn,yu geun 유근,Nhũ căn,nan
ST-19,不容,Burong,Not Contained,bù róng,bul yong 불용,Bất dung,"""Uncontainable"" refers to vomiting [1]"
ST-20,承滿,Chengman,Receiving Fullness,chéng mǎn,seng man 승만,Thừa mãn,nan
ST-21,梁門,Liangmen,Beam Gate,liáng mén,yang mun 양문,Lương môn,nan
ST-22,關門,Guanmen,Shutting the Gate,guān mén,gwan mun 관문,Quan môn,nan
ST-23,太乙,Taiyi,Great Unity,tài yǐ,tae eul 태을,Thái ất,nan
ST-24,滑肉門,Huaroumen,Chime Gate,huá ròu mén,hwal yung mun 활육문,Hoạt nhục môn,nan
ST-25,天樞,Tianshu,Heavenly Pivot,tiān shū,cheon chu 천추,Thiên xu,nan
ST-26,外陵,Wailing,Outer Mound,wài líng,woe neung 외릉,Ngoại lăng,nan
ST-27,大巨,Daju,Great Bulge,dà jù,dae geo 대거,Đại cự,nan
ST-28,水道,Shuidao,Waterway,shuǐ dào,su do 수도,Thủy đạo,"Left ST 28 = Baomen ""Gate of Uterus""; Right ST 28 = Zihu ""Child's Door - Sun Si Miao [1]"
ST-29,歸來 (归来),Guilai,Restoring Position,guī lái,gui rae 귀래,Qui lai,nan
ST-30,氣沖,Qichong,Qi Surge,qì chōng,gi chung 기충,Khí xung,nan
ST-31,髀關,Biguan,Thigh Gate,bì guān,bi gwan 비관,Bễ quan,nan
ST-32,伏兔,Futu,Crouching Rabbit,fú tù,bok to 복토,Phục thỏ,nan
ST-33,陰市,Yinshi,Yin Market,yīn shì,eum si 음시,Âm thị,nan
ST-34,梁丘,Liangqiu,Ridge Mound,liáng qīu,yang gu 양구,Lương khâu,nan
ST-35,犢鼻,Dubi,Calf's Nose,dú bí,dok bi 독비,Độc tị,nan
ST-36,足三里,Zusanli,Leg Three Miles,zú sān lǐ,[jok] sam ni [족] 삼리,Túc tam lý,nan
ST-37,上巨虛,Shangjuxu,Upper Great Void,shàng jù xū,sang geo heo 상거허,Thượng cự hư,nan
ST-38,條口,Tiaokou,Ribbon Opening,tiáo kǒu,jo gu 조구,Điều khẩu,nan
ST-39,下巨虛,Xiajuxu,Lower Large Hollow,xià jù xū,ha geo heo 하거허,Hạ cự hư,nan
ST-40,豐隆,Fenglong,Abundant Bulge,fēng lóng,pung nyung 풍륭,Phong long,nan
ST-41,解谿,Jiexi,Dividing Cleft,jiě xī,hae gye 해계,Giải khê,nan
ST-42,沖陽,Chongyang,Surging Yang,chōng yáng,chung yang 충양,Xung dương,nan
ST-43,陷谷,Xiangu,Sunken Valley,xiàn gǔ,ham gok 함곡,Hãm cốc,nan
ST-44,内庭,Neiting,Inner Court,nèi tíng,nae jeong 내정,Nội đình,nan
ST-45,厲兌,Lidui,Running Point,lì duì,ye tae 예태,Lệ đoài,nan
