Point,Name,Transliteration,English,Pinyin,Korean 한글,Romaji,Vietnamese,Alternative names
SP-1,隱白,Yinbai,Hidden White,yǐn bái,eun baek 은백,im paku,Ẩn bạch,'in paku'[6]
SP-2,大都,Dadu,Great Pool,dà dū,dae do 대도,dai to,Đại đô,nan
SP-3,太白,Taibai,Great White,taì bái,tae baek 태백,tai haku,Thái bạch,nan
SP-4,公孫,Gongsun,Grandfather Grandson,gōng sūn,gong son 공손,kō son,Công tôn,nan
SP-5,商丘,Shangqiu,Metal Mound,shāng qiū,sang gu 상구,shō kyū,Thương khâu,nan
SP-6,三陰交,Sanyinjiao,Three Yin Intersection,sān yīn jiāo,sam eum gyo 삼음교,san in kō,Tam âm giao,nan
SP-7,漏谷,Lougu,Leaking Valley,loù gǔ,nu gok 루곡,rō koku?,Lậu cốc,nan
SP-8,地機,Diji,Earth Cure,dì jī,ji gi 지기,chi ki,Địa cơ,nan
SP-9,陰陵泉,Yinlingquan,Yin Mound Spring,yīn líng qúan,eum neung cheon 음릉천,in ryō sen,Âm lăng tuyền,nan
SP-10,血海,Xuehai,Sea of Blood,xuè hǎi,hyeol hae 혈해,kek kai,Huyết hải,nan
SP-11,箕門,Jimen,Separation Gate,jī mén,gi mun 기문,ki mon,Cơ môn,nan
SP-12,衝門,Chongmen,Surging Gate,chōng mén,chung mun 충문,shō mon,Xung môn,nan
SP-13,府舍,Fushe,Bpwel Abode,fǔ shè,bu sa 부사,fu sha,Phủ xá,nan
SP-14,腹結,Fujie,Abdomen Stagnation,fù jié,bok gyeol 복결,fuk ketsu,Phúc kết,nan
SP-15,大横,Da heng,Great Horizontal,dà héng,dae hoeng 대횡,dai ō,Đại hoành,nan
SP-16,腹哀,Fuai,Abdomen Suffering,fù āi,bok ae 복애,fuku ai,Phúc ai,nan
SP-17,食竇,Shidou,Food Cavity,shí dòu,sik du 식두,shoku tō,Thực đậu,nan
SP-18,天谿,Tianxi,Celestial Cleft,tiān xī,cheon gye 천계,ten kei,Thiên khê,nan
SP-19,胸鄉,Xiongxiang,Chest Village,xiōng xiāng,hyung hyang 흉향,kyō kyō?,Hung hương,nan
SP-20,周榮,Zhourong,Complete Nourishment,zhōu róng,ju yeong 주영,shū ei,Chu vinh,nan
SP-21,大包,Dabao,Great Embrace,dà bāo,dae po 대포,tai hō,Đại bao,nan
