Point,Name,Transliteration,English,Pinyin,Korean 한글,Romaji,Vietnamese,Alternative names
BL-1,睛明,Jingming,Bright Eyes,jīng míng,jeong myeong 정명,sei mei,Tình minh,nan
BL-2,攢竹,Zanzhu,Gathered Bamboo,cuán zhú,chan juk 찬죽,san chiku,Toản trúc,nan
BL-3,眉衝,Meichong,Eyebrows' Ascension,méi chōng,mi chung 미충,bi shō,Mi xung,nan
BL-4,曲差,Quchai,Deviating Curve,qǔ chāi,gok cha 곡차,kyo kusa?,Khúc sai,nan
BL-5,五處,Wuchu,Fifth Position,wǔ chǔ,o cheo 오처,go sho(?),Ngũ xứ,nan
BL-6,承光,Chengguang,Receiving Light,chéng guāng,seung gwang 승광,shō kō?,Thừa quang,nan
BL-7,通天,Tongtian,Reaching Upward,tōng tiān,tong cheon 통천,tsū ten,Thông thiên,nan
BL-8,絡卻,Luoque,Declining Connection,luò què,nak gak 락각,rak kyaku?,Lạc khước,nan
BL-9,玉枕,Yuzhen,Jade Pillow,yù zhěn,ok chim 옥침,gyoku chin(?),Ngọc chẩm,nan
BL-10,天柱,Tianzhu,Upper Pillar,tiān zhù,cheon ju 천주,ten chū,Thiên trụ,nan
BL-11,大杼,Dazhu,Great Vertebra,dà zhù,dae jeo 대저,dai jo,Đại trữ,nan
BL-12,風門,Fengmen,Wind Gate,fēng mén,pung mun 풍문,fū mon,Phong môn,nan
BL-13,肺俞,Feishu,Lung Transporter,fèi shū,pye yu 폐유,hai yu,Phế du,nan
BL-14,厥陰俞,Jueyinshu,Absolute yin Transporter,jué yīn shū,gweor eum yu 궐음유,ketsu in yu,Quyết âm du,nan
BL-15,心俞,Xinshu,Heart Transporter,xīn shū,sim yu 심유,shin yu,Tâm du,nan
BL-16,督俞,Dushu,Governor Transporter,dū shū,dok yu 독유,toku yu,Đốc du,nan
BL-17,膈俞,Geshu,Diaphragm Transporter,gé shū,gyeok yu 격유,kaku yu,Cách du,nan
BL-18,肝俞,Ganshu,Liver Transporter,gān shū,gan yu 간유,kan yu,Can du,nan
BL-19,膽俞,Danshu,Gallbladder Transporter,dǎn shū,dam yu 담유,tan yu,Đởm du,nan
BL-20,脾俞,Pishu,Spleen Transporter,pí shū,bi yu 비유,hi yu,Tỳ du,nan
BL-21,胃俞,Weishu,Stomach Transporter,wèi shū,wi yu 위유,i yu,Vị du,nan
BL-22,三焦俞,Sanjiaoshu,Sanjiao Transporter,sān jiāo shū,sam cho yu 삼초유,san shō yu,Tam tiêu du,nan
BL-23,腎俞,Shenshu,Kidney Transporter,shèn shū,sim yu 신유,jin yu,Thận du,nan
BL-24,氣海俞,Qihaishu,Sea of Qi Transporter,qì hǎi shū,gi hae yu 기해유,kikai yu?,Khí hải du,nan
BL-25,大腸俞,Dachangshu,Large Intestine Transporter,dà cháng shū,dae jang yu 대장유,dai chō yu,Đại trường du,nan
BL-26,關元俞,Guanyuanshu,Gate of Origin Transporter,guān yuán shū,gwan won yu 관원유,kan gen yu?,Quan nguyên du,nan
BL-27,小腸俞,Xiaochangshu,Small Intestine Transporter,xiǎo cháng shū,so jang yu 소장유,shō chō yu,Tiểu trường du,nan
BL-28,膀胱俞,Pangguangshu,Bladder Transporter,páng guāng shū,bang wang yu 방광유,bōkō yu,Bàng quang du,nan
BL-29,中膂俞,Zhonglushu,Mid-Spine Transporter,zhōng lǚ shū,jung nyeo nae yu 중려내유,chū ryo yu?,Trung lữ du,中膂內俞 zhōng lǚ nèi shù
BL-30,白環俞,Baihuanshu,White Ring Transporter,bái huán shū,baek hwan yu 백환유,hak kan yu?,Bạch hoàn du,nan
BL-31,上髎,Shangliao,Upper Bone Hole,shàng liáo,sang nyo 상료,jyō ryō?,Thượng liêu,nan
BL-32,次髎,Ciliao,Second Bone Hole,cì liáo,cha ryo 차료,ji ryō,Thứ liêu,nan
BL-33,中髎,Zhongliao,Middle Bone Hole,zhōng liáo,jung nyo 중료,chū ryō?,Trung liêu,nan
BL-34,下髎,Xialiao,Lower Bone Hole,xià liáo,ha ryo 하료,ge ryō?,Hạ liêu,nan
BL-35,會陽,Huiyang,Meeting of Yang,huì yáng,hoe yang 회양,e yō,Hội dương,nan
BL-36,承扶,Chengfu,Hold and Support,chéng fú,seung bu 승부,sho fu(?),Thừa phù,Bl-50
BL-37,殷門,Yinmen,Hanstring Gate,yīn mén,eun mun 은문,in mon,Ân môn,Bl-51
BL-38,浮郄,Fuxi,Superficial Cleft,fú xī,bu geuk 부극,fu geki(?),Phù khích,Bl-52
BL-39,委陽,Weiyang,Lateral End of the Crease,wěi yáng,wi yang 위양,i yō,Ủy dương,Bl-53
BL-40,委中,Weizhong,Middle of the Crease,wěi zhōng,wi jung 위중,i chū,Ủy trung,Bl-54
BL-41,附分,Fufen,Outer Branch,fù fēn,bu bun 부분,fu bun(?),Phụ phân,Bl-36
BL-42,魄戶,Pohu,Door of the Corporeal Soul,pò hù,baek ho 백호,haku ko,Phách hộ,Bl-37
BL-43,膏肓俞,Gaohuangshu,Vital Region Shu,gāo huāng shū,go hwang [yu] 고황[유],kō kō yu,Cao hoang du,Bl-38
BL-44,神堂,Shentang,Spirit Hall,shén táng,sin dang 신당,shin dō?,Thần đường,Bl-39
BL-45,譩譆,Yixi,That Hurt,yì xǐ,ui hoe 의회,i ki(?),Y hy,Bl-40
BL-46,膈關,Geguan,Diaphragm Gate,gé guān,gyeok gwan 격관,kaku kan(?),Cách quan,Bl-41
BL-47,魂門,Hunmen,Ethereal Soul Gate,hún mén,hon mun 혼문,kon mon?,Hồn môn,Bl-42
BL-48,陽綱,Yanggang,Linking to Gall Bladder,yáng gāng,yang gang 양강,yō kō?,Dương cương,Bl-43
BL-49,意舍,Yishe,Abode of Thought,yì shě,ui sa 의사,i sha(?),Ý xá,Bl-44
BL-50,胃倉,Weicang,Stomach Granary,wèi cāng,wi chang 위창,i sō,Vị thương,Bl-45
BL-51,肓門,Huangmen,Vitals Gate,huāng mén,hwang mun 황문,kō mon?,Hoang môn,Bl-46
BL-52,志室,Zhishi,Willpower Room,zhì shì,ji sil 지실,shi shitsu,Chí thất,Bl-47
BL-53,胞肓,Baohuang,Bladder's Vitals,bāo huāng,po hwang 포황,hō kō,Bào hoang,Bl-48
BL-54,秩邊,Zhibian,Lowermost in Order,zhì biān,jil byeon 질변,chip pen,Trật biên,Bl-49
BL-55,合陽,Heyang,Yang Confluence,hé yáng,hap yang 합양,gō yō?,Hợp dương,nan
BL-56,承筋,Chengjin,Sinews Support,chéng jīn,seung geun 승근,shō kin,Thừa cân,nan
BL-57,承山,Chengshan,Mountain Support,chéng shān,seung san 승산,shō zan,Thừa sơn,nan
BL-58,飛陽,Feiyang,Taking Flight,fēi yáng,bi yang 비양,hi yō,Phi dương,nan
BL-59,跗陽,Fuyang,Tarsus Yang,fū yáng,bu yang 부양,fu yō,Phụ dương,nan
BL-60,昆侖; 崑崙[7],Kunlun,Kunlun Mountains,kūn lún,gol lyun 곤륜,kon ron,Côn lôn (luân),nan
BL-61,僕參,Pucan,Subservient Visitor,pú cān,bok cham 복참,boku shin(?),Bộc tham,nan
BL-62,申脈,Shenmai,Extending Vessel,shēn mài,sin maek 신맥,shim myaku,Thân mạch,nan
BL-63,金門,Jinmen,Golden Gate,jīn mén,geum mun 금문,kim mon,Kim môn,nan
BL-64,京骨,Jinggu,Metatarsal Tuberosity,jīng gǔ,gyeong gol 경골,kei kotsu(?),Kinh cốt,nan
BL-65,束骨,Shugu,Metatarsal Head,shù gǔ,sok gol 속골,sok kotsu?,Thúc cốt,nan
BL-66,足通谷,Zutonggu,Foot Valley Passage,zú tōng gǔ,[jok] tong gok [족]통곡,ahsi tsū koku?,Túc thông cốc,nan
BL-67,至陰,Zhiyin,Reaching Yin,zhì yīn,ji eum 지음,shi in,Chí âm,nan
