Point,Name,Transliteration,English,Pinyin,Korean 한글,Romaji,Vietnamese
KI-1,湧泉,Yong Quan,Bubbling Well,yǒng quán,yong cheon 용천,yu sen,Dũng tuyền
KI-2,然谷,Rangu,Blazing Valley,rán gǔ,yeon gok 연곡,nen koku,Nhiên cốc
KI-3,太谿,Taixi,Great Stream,taì xī,tae yeon 태계,tai kei,Thái khê
KI-4,大鐘,Dazhong,Large Bell,dà zhōng,dae jong 대종,dai shō?,Đại chung
KI-5,水泉,Shuiquan,Water Spring,shuǐ quán,su cheon 수천,sui sen,Thủy tuyền
KI-6,照海,Zhaohai,Shining Sea,zhào hǎi,joh hae 조해,shō kai,Chiếu hải
KI-7,復溜,Fuliu,Continuing Flow,fù liū,bong nyu 복류,fuku ryū,Phục lưu
KI-8,交信,Jiaoxin,Intersecting with Spleen,jiāo xìn,gyo sin 교신,kō shin?,Giao tín
KI-9,築賓,Zhubin,Strong Knees,zhú bīn,chuk bin 축빈,chiku hin,Trúc tân
KI-10,陰谷,Yingu,Yin Valley,yīn gǔ,eum gok 음곡,in koku,Âm cốc
KI-11,橫骨,Henggu,Pubic Bone,héng gǔ,hoeng gol 횡골,ō kotsu,Hoành cốt
KI-12,大赫,Dahe,Big Plentifulness,dà hè,dae hyeok 대혁,tai kaku,Đại hách
KI-13,氣穴,Qixue,Kidney Qi Cave,qì xué,gi hyeol 기혈,ki ketsu,Khí huyệt
KI-14,四滿,Siman,Fourth for Fullnesses,sì mǎn,sa man 사만,shi man,Tứ mãn
KI-15,中注,Zhongzhu,Pouring into the Middle,zhōng zhù,jung ju 중주,chū chū,Trung chú
KI-16,肓俞,Huangshu,Vitals Tissues Shu,huāng shū,hwang yu 황유,kō yu,Hoang du
KI-17,商曲,Shangqu,Metal Bend,shāng qū,sang gok 상곡,shō kyoku,Thương khúc
KI-18,石關,Shiguan,Stone Gate,shí guān,seok gwan 석관,seki kan,Thạch quan
KI-19,陰都,Yindu,Yin Metropolis,yīn dū,eum do 음도,in to,Âm đô
KI-20,腹通谷,Futonggu,Abdominal Food Passage,fù tōng gǔ,tong gok 통곡,hara no tsū koku,(Phúc) Thông cốc
KI-21,幽門,Youmen,Hidden Gate,yōu mén,yu mun 유문,yū mon,U môn
KI-22,步廊,Bulang,Stepping Upwards,bù láng,bo rang 보랑,hō ro?,Bộ lang
K-23,神封,Shenfeng,Spirit Manor,shén fēng,sin bong 신봉,shim pō,Thần phong
KI-24,靈墟,Lingxu,Spirit Ruin,líng xū,yeong heo 영허,rei kyo(?),Linh khâu
KI-25,神藏,Shencang,Spirit Storehouse,shén cáng,sin jang 신장,shin zō,Thần tàng
KI-26,彧中[a],Yuzhong,Refined Chest,yù zhōng,uk jung 욱중,waku chū,Hoắc trung
KI-27,俞府,Shufu,Shu Mansion,shū fǔ,yu bu 유부,yu fu,Du phủ
