Point,Name,Transliteration,English,Pinyin,Korean 한글,Romaji,Vietnamese,Alternative names
TE-1,關衝,Guanchong,Surge Gate,guān chōng,gwan chung 관충,kan shō,Quan xung,nan
TE-2,液門,Yemen,Fluid Gate,yè mén,aeng mun 액문,eki mon(?),DỊch môn,nan
TE-3,中渚,Zhongzhu,Central Islet,zhōng zhǔ,jung jeo 중저,chū sho,Trung chử,nan
TE-4,陽池,Yangchi,Yang Pool,yáng chí,yang ji 양지,yō chi?,Dương trì,nan
TE-5,外關,Waiguan,Outer Pass,wài guān,oe gwan 외관,gai kan,Ngoại quan,nan
TE-6,支溝,Zhigou,Branch Ditch,zhī gōu,ji gu 지구,shi kō?,Chi câu,nan
TE-7,會宗,Huizong,Convergence and Gathering,huì zōng,hui jung 회종,e sō,Hội tông,nan
TE-8,三陽絡,Sanyangluo,Three Yang Connection,sān yáng luò,sam yang nak 삼양락,san kyō raku?,Tam dương lạc,nan
TE-9,四瀆,Sidu,Four Rivers,sì dú,sa dok 사독,shi toku,Tứ độc,nan
TE-10,天井,Tianjing,Upper Well,tiān jǐng,cheon jeong 천정,ten sei(?),Thiên tỉnh,TW 10
TE-11,清冷淵,Qinglengyuan,Cooling Deep Pool,qīng lěng yuān,cheong naeng yeon 청랭연,sei rei en?,Thanh lãng uyên,nan
TE-12,消濼,Xiaoluo,Draining Marsh,xiāo luò,so rak 소락,shō reki?,Tiêu lạc,nan
TE-13,臑會,Naohui,Upper Arm Intersection,nào huì,noe hui 뇌회,ju e,Nhu hội,nan
TE-14,肩髎,Jianliao,Shoulder Bone Hole,jiān liáo,gyeol lyo 견료,ken ryō,Kiên liêu,nan
TE-15,天髎,Tianliao,Upper Arm Hole,tiān liáo,cheol lyo 천료,ten ryō,Thiên liêu,nan
TE-16,天牖,Tianyou,Sky Window,tiān yǒu,cheon yong 천용,ten yū?,Thiên dũ,nan
TE-17,翳風,Yifeng,Wind Screen,yì fēng,ye pung 예풍,ei fū,Ế phong,nan
TE-18,契脈,Qimai[b],Convulsion Vessel,qì mài,gye maek 계맥,kei myaku(?),Khế mạch,nan
TE-19,顱息,Luxi,Head's Tranquility,lú xī,no sik 노식,ro soku(?),Lư tức,nan
TE-20,角孫,Jiaosun,Angle Vertex,jiǎo sūn,gak son 각손,kaku son,Giác tôn,nan
TE-21,耳門,Ermen,Ear Gate,ěr mén,i mun 이문,ji mon(?),Nhĩ môn,nan
TE-22,耳和髎,Erheliao,Ear Harmonising Foramen,ěr hé liáo,hwa ryo 화료,ji wa ryō?,(Nhĩ) Hòa liêu,nan
TE-23,絲竹空,Sizhukong,Silken Bamboo Hollow,sī zhú kōng,sa juk gong 사죽공,shi chiku kū,Ti trúc không,nan
