Point,Name,Transliteration,Pinyin,English,Korean 한글,Romaji,Vietnamese,Alternative names
GV-1,長強,Changqiang,cháng qiáng,Long and Rigid,jang gang 장강,chō kyō,Trường cường,nan
GV-2,腰俞,Yaoshu,yāo shū,Low Back Transporter,yo yu 요유,yō yu?,Yêu du,nan
GV-3,腰陽關,Yaoyangquan,yāo yáng guān,Low Back Yang Passage,[yo] yang gwan [요] 양관,koshi no yo kan?,(Yêu) Dương quan,nan
GV-4,命門,Mingmen,mìng mén,Life Gate,myeong mun 명문,mei mon,Mệnh môn,nan
GV-5,懸樞,Xuanshu,xuán shū,Suspended Pivot,hyeon chu 현추,ken sū?,Huyền khu,nan
GV-6,脊中,Jizhong,jì zhōng,Middle of the Spine,cheok jung 척중,seki chū?,Tích trung,nan
GV-7,中樞,Zhongshu,zhōng shū,Central Pivot,jung chu 중추,chū sū?,Trung khu,nan
GV-8,筋縮,Jinsuo,jīn suō,Muscle Spasm,geun chuk 근축,kin shuku(?),Cân súc,nan
GV-9,至陽,Zhiyang,zhì yáng,Reaching Yang,ji yang 지양,shi yō?,Chí dương,nan
GV-10,靈台,Lingtai,líng tái,Spirit Platform,yeong dae 영대,rei dai(?),Linh đài,nan
GV-11,神道,Shendao,shén dào,Way of the Spirit,sin do 신도,shin dō,Thần đạo,nan
GV-12,身柱,Shenzhu,shēn zhù,Body Pillar,sin ju 신주,shin chū,Thân trụ,nan
GV-13,陶道,Taodao,táo dào,Way of the Pot,do do 도도,tō dō?,Đào đạo,nan
GV-14,大椎,Dazhui,dà zhuī,Great Vertebra,dae chu 대추,dai tsui,Đại chùy,nan
GV-15,瘂門 (啞門),Yamen,yǎ mén,Mutism Gate,a mun 아문,a mon,Á môn,nan
GV-16,風府,Fengfu,fēng fǔ,Wind Palace,pung bu 풍부,fū fu,Phong phủ,nan
GV-17,腦戶,Naohu,nǎo hù,Brain Door,noe ho 뇌호,nō ko?,Não hộ,nan
GV-18,強間,Qiangjian,qiáng jiān,Rigid Space,gang gan 강간,kyō kan?,Cường gian,nan
GV-19,後頂,Houding,hòu dǐng,Back Vertex,hu jeong 후정,go chō?,Hậu đính,nan
GV-20,百會,Baihui,bǎi huì,One Hundred Meetings,baek hoe 백회,hyaku e,Bách hội,nan
GV-21,前頂,Qianding,qián dǐng,Front Vertex,jeon jeong 전정,zen chō?,Tiền đính,nan
GV-22,囟會,Xinhui,xìn huì,Fontanelle Meeting,sin hoe 신회,shin e(?),Tín hội,nan
GV-23,上星,Shangxing,shàng xīng,Upper Star,sang seong 상성,jō sei?,Thượng tinh,nan
GV-24,神庭,Shenting,shén tíng,Spirit Courtyard,sin jeong 신정,shin tei,Thần đình,nan
GV-25,素髎,Suliao,sù liáo,Plain Space,so ryo 소료,so ryō?,Tố liêu,nan
GV-26,人中,Renzhong,rén zhōng,Middle of the Person,in jung 인중/su gu 수구,jin chu,Nhân trung (Thủy câu),水溝 shuǐ gōu [Water Pit]
GV-27,兌端,Duiduan,duì duān,End Exchange,tae don 태단,da tan(?),Đoài đoan,nan
GV-28,齦交,Yinjiao,yín jiāo,Gum Union,eun gyo 은교,gin kō,Ngân giao,nan
