Point,Name,Transliteration,Pinyin,English,Korean 한글,Romaji,Vietnamese,Alternative names
CV-1,會陰,Huiyin,huì yīn,Yin Meeting,hoe eum 회음,e in,Hội âm,nan
CV-2,曲骨,Qugu,qū gǔ,Crooked Bone,gok gol 곡골,kyok kotsu?,Khúc cốt,nan
CV-3,中極,Zhongji,zhōng jí,Middle Extremity,jung geuk 중극,chū kyoku?,Trung cực,nan
CV-4,關元,Guanyuan,guān yuán,Origin Pass,gwan won 관원,kan gen,Quan nguyên,nan
CV-5,石門,Shimen,shí mén,Stone Gate,seong mun 석문,seki mon(?),Thạch môn,nan
CV-6,氣海,Qihai,qì hǎi,Sea of Qi,gi hae 기해,ki kai,Khí hải,nan
CV-7,陰交,Yinjiao,yīn jiāo,Yin Intersection,eum gyo 음교,in kō,Âm giao,nan
CV-8,神闕,Shenque,shén què,Spirit Palace,sin gwol 신궐,shin ketsu(?),Thần khuyết,nan
CV-9,水分,Shuifen,shuǐ fēn,Water Division,su bun 수분,sui bun(?),Thủy phân,nan
CV-10,下脘,Xiawan,xià wǎn [or xià guǎn],Lower Epigastrium,ha wan 하완,ge kan,Hạ quản,nan
CV-11,建里,Jianli,jiàn lǐ,Internal Foundation,geol li 건리,ken ri(?),Kiến lý,健裡 jiàn lǐ
CV-12,中脘,Zhongwan,zhōng wǎn [or zhōng guǎn],Middle Epigastrium,jung wan 중완,chū kan,Trung quản,nan
CV-13,上脘,Shangwan,shàng wǎn [or shàng guǎn],Upper Epigastrium,sang wan 상완,jo kan,Thượng quản,nan
CV-14,巨闕,Juque,jù què,Great Palace,geo gwol 거궐,ko ketsu(?),Cự khuyết,nan
CV-15,鳩尾,Jiuwei,jiū wěi,Bird Tail,gu mi 구미,kyū bi?,Cưu vĩ,nan
CV-16,中庭,Zhongting,zhōng tíng,Central Courtyard,jung jeong 중정,chū tei?,Trung đình,nan
CV-17,膻中,Shanzhong,shān zhōng,Middle of the Chest,dan jung 단중,dan chū,Đản trung,nan
CV-18,玉堂,Yutang,yù táng,Jade Hall,ok dang 옥당,gyoku dō?,Ngọc đường,nan
CV-19,紫宮,Zigong,zǐ gōng,Violet Palace,ja gung 자궁,shi kyū?,Tử cung,nan
CV-20,華蓋,Huagai,huá gài,Splendid Cover,hwa gae 화개,ko gai?,Hoa cái,ka gai[8]
CV-21,璇璣,Xuanji,xuán jī,Jade Rotator,seon gi 선기,sen ki,Toàn cơ,nan
CV-22,天突,Tiantu,tiān tū,Heaven Projection,cheon dol 천돌,ten totsu,Thiên đột,nan
CV-23,廉泉,Lianquan,lián quán,Lateral Spring,yeom cheon 염천,ren sen,Liêm tuyền,nan
CV-24,承漿,Chengjiang,chéng jiāng,Saliva Container,seung jang 승장,shō shō,Thừa tương,nan
