codigo,chines,transliteracao,nome_ingles,pinyin,meridiano
LU,手太陰肺經,shǒu tàiyīn fèi jīng,Lung,수태음폐경,Twelve Primary Meridians
LI,手陽明大腸經,shǒu yángmíng dàcháng jīng,Large Intestine,수양명대장경,Twelve Primary Meridians
ST,足陽明胃經,zú yángmíng wèi jīng,Stomach,족양명위경,Twelve Primary Meridians
SP,足太陰脾經,zú tàiyīn pí jīng,Spleen,족태음비경,Twelve Primary Meridians
HT,手少陰心經,shǒu shǎo yīn xīnjīng,Heart,수소음심경,Twelve Primary Meridians
SI,手太陽小腸經,shǒu tàiyáng xiǎocháng jīng,Small Intestine,수태양소장경,Twelve Primary Meridians
BL,足太陽膀胱經,zú tàiyáng pángguāng jīng,Bladder,족태양방광경,Twelve Primary Meridians
KI,足少陰腎經,zú shǎo yīn shèn jīng,Kidney,족소음신경,Twelve Primary Meridians
PC,手厥陰心包經,shǒu juéyīn xīnbāo jīng,Pericardium,수궐음심포경,Twelve Primary Meridians
TE,手少陽三焦經,shǒu shǎo yángsān jiāo jīng,Triple Energizer,수소양삼초경,Twelve Primary Meridians
GB,足少陽膽經,zú shǎo yáng dǎn jīng,Gallbladder,족소양담경,Twelve Primary Meridians
LR,足厥陰肝經,zú juéyīn gān jīng,Liver,족궐음간경,Twelve Primary Meridians
GV,督脉;督脈,Dumai,Governing Vessel,독맥,Eight Extraordinary Meridians
CV,任脉;任脈,Renmai,Conception Vessel,임맥,Eight Extraordinary Meridians
TV,冲脉;衝脈,Chongmai,Thrusting Vessel,충맥,Eight Extraordinary Meridians
BV,带脉;帶脈,Daimai,Belt Vessel,대맥,Eight Extraordinary Meridians
YinHV,陰跷脉;陰蹺脈,Yinqiaomai,Yin Heel Vessel,음교맥,Eight Extraordinary Meridians
YangHV,陽跷脉;陽蹺脈,Yangqiaomai,Yang Heel Vessel,양교맥,Eight Extraordinary Meridians
YinLV,陰维脉;陰維脈,Yinweimai,Yin Link Vessel,음유맥,Eight Extraordinary Meridians
YangLV,陽维脉;陽維脈,Yangweimai,Yang Link Vessel,양유맥,Eight Extraordinary Meridians
