Point,Name,Transliteration,English,Pinyin,Korean 한글,Vietnamese
LI-1,商陽,Shangyang,Metal Yang,shāng yáng,sang yang 상양,Thương dương
LI-2,二間,Erjian,Second Point,èr jiān,i gan 이간,Nhị gian
LI-3,三間,Sanjian,Third Point,sān jiān,sam gan 삼간,Tam gian
LI-4,合谷,He Gu,Junction Valley,hé gǔ,hap gok 합곡,Hiệp cốc
LI-5,陽谿,Yangxi,Yang Stream,yáng xī,yang gye 양계,Dương khê
LI-6,偏歴,Pianli,Diverging Passage,piān lì,pyeon ryeok 편력,Thiên lịch
LI-7,溫溜,Wenliu,Warm Flow,wēn liū,ol lyu 온류,Ôn lưu
LI-8,下廉,Xialian,Lower Point at the Border,xià lián,ha ryeom 하렴,Hạ liêm
LI-9,上廉,Shanglian,Upper Point at the Border,shàng lián,sang nyeom 상렴,Thượng liêm
LI-10,手三里,Shousanli,Arm Three Miles,shǒu sān lǐ,[su] sam ni [수] 삼리,Thủ tam lý
LI-11,曲池,Quchi,Pool at the Bend,qū chí,gok ji 곡지,Khúc trì
LI-12,肘髎,Zhouliao,Elbow Bone Hole,zhǒu liáo,ju ryo 주료,Trữu liêu
LI-13,手五里,Shouwuli,Arm Five Miles,shǒu wǔ lǐ,[su] o ri [수] 오리,(Thủ) ngũ lý
LI-14,臂臑,Binao,Upper Arm,bì nào,bi no 비노,Tí nhu
LI-15,肩髃,Jianyu,Shoulder and Clavicle,jiān yú,gyeon u 견우,Kiên ngung
LI-16,巨骨,Jugu,Large Bone,jù gǔ,geo gol 거골,Ngự cốt
LI-17,天鼎,Tianding,Head's Tripod,tiān dǐng,cheon jeong 천정,Thiên đỉnh
LI-18,扶突,Futu,Beside the Prominence,fú tū,bu dol 부돌,Phù đột
LI-19,口禾髎,Kouheliao,Mouth Grain Hole,kǒu hé liáo,hwa ryo 화료,Hòa liêu
LI-20,迎香,Yingxiang,Receiving Fragrance,yíng xiāng,yeong hyang 영향,Nghênh hương
