Point,Name,Transliteration,English,Pinyin,Korean 한글,Romaji,Vietnamese,Alternative names
SI-1,少澤,Shaoze,Lesser Marsh,shào zé,so taek 소택,shō taku,Thiếu trạch,nan
SI-2,前谷,Qiangu,Front Valley,qián gǔ,jeon gok 전곡,zen koku(?),Tiền cốc,nan
SI-3,後谿,Houxi,Back Stream,hòu xī,hu gye 후계,go kei,Hậu khê,'kō kei'[6]
SI-4,腕骨,Wangu,Wrist Bone,wàn gǔ,wan gol 완골,wan kotsu(?),Uyển cốt,nan
SI-5,陽谷,Yanggu,Yang Valley,yáng gǔ,yang gok 양곡,yō koku,Dương cốc,nan
SI-6,養老,Yanglao,Support the Aged,yǎng lǎo,yang no 양노,yō rō,Dưỡng lão,nan
SI-7,支正,Zhizheng,Branch of Upright,zhī zhèng,ji jeong 지정,shi sei(?),Chi chính,nan
SI-8,小海,Xiaohai,Small Sea,xiǎo hǎi,so hae 소해,shō kai,Tiểu hải,nan
SI-9,肩貞,Jianzhen,True Shoulder,jiān zhēn,gyeon jeong 견정,ken tei,Kiên trinh,nan
SI-10,臑俞,Naoshu,Upper arm transporter,nāo shū,no yu(su) 노유(수),ju yu,Nhu du,nan
SI-11,天宗,Tianzong,Heavenly Gathering,tiān zōng,cheon jong 천종,ten sō,Thiên tông,nan
SI-12,秉風,Bingfeng,Grasping the Wind,bǐng fēng,byeong pung 병풍,hei fū,Bỉnh phong,nan
SI-13,曲垣,Quyuan,Crooked Wall,qū yuán,gok won 곡원,kyo ku en?,Khúc viên,nan
SI-14,肩外俞,Jianwaishu,Outer Shoulder Transporter,jiān wài shū,gyeon oe yu 견외유,ken gai yu(?),Kiên ngoại du,nan
SI-15,肩中俞,Jianzhongshu,Middle Shoulder Transporter,jiān zhōng shū,gyeon jung yu 견중유,ken chū yu?,Kiên trung du,nan
SI-16,天窗,Tianchuang,Heavenly Window,tiān chuāng,cheon chang 천창,ten sō?,Thiên song,nan
SI-17,天容,Tianrong,Heavenly Appearance,tiān róng,cheon yong 천용,ten yō?,Thiên dung,nan
SI-18,顴髎,Quanliao,Cheek Bone Crevice,quán liáo,gwal lyo 관료,kan ryō,Quyền liêu,nan
SI-19,聽宮,Tinggong,Palace of Hearing,tīng gōng,cheong gung 청궁,chō kyū,Thính cung,nan
