code,name,chineseName,meridian,meridianName,meridianGroup,translation.pinyin,translation.transliteration,translation.korean,translation.vietnamese,description,location,indication,contraindications,functions,coordinates.x,coordinates.y,bodyMapCoords,imageUrls,imageRefs,symptomIds,tags,category,createdAt,updatedAt,createdBy,contentStatus
LU-1,Middle Assembly,中府,LU,Lung,Twelve Primary Meridians,zhōng fǔ,Zhongfu,jung bu 중부,Trung phủ,Ponto Mu do Pulmão que dispersa Calor e regula a descida do Qi.,"No 1.º espaço intercostal, 6 cun lateral à linha média anterior, acima do LU-2.","Tosse seca ou produtiva, dispneia, asma com fleuma espessa, dor pleurítica, sensação de opressão torácica.",Cuidado com pneumotórax; evitar punções profundas em pacientes muito emagrecidos.,"Regula e faz descer o Qi de Pulmão, transforma Fleuma-Calor, harmoniza Qi de Estômago, relaxa o tórax.",,,[],[],[],[],"[""seed-pending""]",General,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,system,pending-review
LU-2,Cloud Gate,雲門,LU,Lung,Twelve Primary Meridians,yún mén,Yunmen,un mun 운문,Vân môn,Ponto auxiliar para liberar Calor e umidade do tórax anterior.,"No 2.º espaço intercostal, 6 cun lateral à linha média, logo abaixo da clavícula.","Dor torácica, tosse com sangue, asma, rigidez de ombro, sensação de aperto emocional.",Punção profunda com risco de pneumotórax; evitar em pele inflamada.,"Dispersa Calor do Pulmão, alivia plenitude torácica, promove a circulação de Qi nos ombros.",,,[],[],[],[],"[""seed-pending""]",General,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,system,pending-review
LU-3,Upper Arm Assembly,天府,LU,Lung,Twelve Primary Meridians,tiān fǔ,Tianfu,cheon bu 천부,Thiên phủ,Ponto Janela do Céu que equilibra as emoções ligadas ao Pulmão.,"3 cun abaixo de LU-5 na face ântero-lateral do braço, entre o bíceps e o úmero.","Epistaxe, tosse com sangue, tristeza profunda, instabilidade emocional, afonia súbita.",Evitar em pacientes propensos a síncope; atenção a vasos superficiais.,"Resfria o Sangue, interrompe sangramentos, acalma o Po e regula o Qi ascendente do Pulmão.",,,[],[],[],[],"[""seed-pending""]",General,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,system,pending-review
LU-4,Supporting the Lung,俠白,LU,Lung,Twelve Primary Meridians,xiá bái,Xiabai,hyeop baek 협백,Hiệp bạch,Ponto que regula o Qi torácico e a circulação do braço superior.,"4 cun abaixo de LU-5, entre os feixes do bíceps na face ântero-lateral do braço.","Dispneia leve, dor torácica, tensão do bíceps, dor no ombro irradiando para o tórax.",Evitar estimulação excessiva em pacientes debilitados.,"Move o Qi e o Sangue da região superior, alivia dor torácica e auxilia na respiração.",,,[],[],[],[],"[""seed-pending""]",General,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,system,pending-review
LU-5,Cubit Marsh,尺澤,LU,Lung,Twelve Primary Meridians,chǐ zé,Chize,cheok taek 척택,Xích trạch,He-Mar do Pulmão e ponto Água que dispersa Calor e umidade.,"Na prega do cotovelo, lado radial do tendão do bíceps braquial.","Tosse com fleuma, asma, febre alta, dor e edema do cotovelo, vômitos por Qi rebelde.",Evitar punção medial profunda para proteger vasos.,"Elimina Calor do Pulmão, regula água, relaxa tendões do cotovelo e desce o Qi rebelde.",,,[],[],[],[],"[""seed-pending""]",General,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,system,pending-review
LU-6,Collection Hole,孔最,LU,Lung,Twelve Primary Meridians,kǒng zuì,Kongzui,gong choe 공최,Khổng tối,Xi-Cleft do Pulmão com ação rápida sobre quadros agudos.,"Na linha LU-5 a LU-9, 7 cun proximal a LU-9 (ou 5 cun distal de LU-5).","Tosse aguda, asma com dor torácica, hemoptise, falta de ar súbita, dor no antebraço.",Cuidado em crianças pequenas ou pacientes anticoagulados.,"Desobstrui o canal, interrompe sangramentos pulmonares, alivia dor aguda, desce o Qi.",,,[],[],[],[],"[""seed-pending""]",General,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,system,pending-review
LU-7,Interrupted Sequence,列缺,LU,Lung,Twelve Primary Meridians,liè quē,Lieque,yeol gyeol 열결,Liệt khuyết,Ponto Luo e Comando da cabeça/pescoço; abre o Ren Mai e regula as águas.,"1,5 cun proximal à prega do punho, entre tendões do braquiorradial e abdutor longo do polegar.","Resfriado com calafrios, cefaleia occipital, rigidez cervical, asma, micção difícil.",Evitar movimentos bruscos para não irritar nervos; cautela em gestantes ao abrir o Ren Mai.,"Libera o exterior, promove a descida do Qi do Pulmão, beneficia garganta e regula água corporal.",,,[],[],[],[],"[""seed-pending""]",General,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,system,pending-review
LU-8,Channel Ditch,經渠,LU,Lung,Twelve Primary Meridians,jīng qú,Jingqu,gyeong geo 경거,Kinh cừ,Ponto Jing-Rio (Metal) que fortalece o elemento Pulmão.,"1 cun acima de LU-9, sobre a artéria radial.","Tosse seca, irritação na garganta, febre leve, dor no punho, calor nas palmas.",Pressão digital firme antes de agulhar; cuidado com a artéria radial.,"Tonifica o Pulmão Metal, regula o Qi descendente e harmoniza garganta e punho.",,,[],[],[],[],"[""seed-pending""]",General,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,system,pending-review
LU-9,Great Deep Pool,太淵,LU,Lung,Twelve Primary Meridians,tài yuān,Taiyuan,tae yeon 태연,Thái uyên,Ponto Yuan e Shu-Transporte que fortalece Qi e Sangue do Pulmão.,"Na prega do punho, entre a artéria radial e o tendão do abdutor longo do polegar.","Tosse crônica, voz fraca, palpitações de origem pulmonar, dor no punho, má circulação.",Compressão da artéria radial antes da punção; evitar em casos de endarterite ativa.,"Tonifica Pulmão, harmoniza circulação, transforma fleuma crônica e abre os Luo.",,,[],[],[],[],"[""seed-pending""]",General,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,system,pending-review
LU-10,Fish Border,魚際,LU,Lung,Twelve Primary Meridians,yú jì,Yuji,eo je 어제,Ngư tế,Ying-Fonte (Fogo) que resfria a garganta e o Pulmão.,"Na eminência tenar, ponto médio do primeiro metacarpo, na transição pele vermelha/branca.","Dor intensa na garganta, perda de voz, febre, tosse seca, dor na mão.",Cautela no primeiro trimestre gestacional; atenção ao usar moxabustão.,"Clareia Calor do Pulmão, beneficia garganta, desce Qi rebelde e acalma o Shen.",,,[],[],[],[],"[""seed-pending""]",General,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,system,pending-review
