code,name,chineseName,meridian,meridianName,meridianGroup,translation.pinyin,translation.transliteration,translation.korean,translation.vietnamese,description,location,indication,contraindications,functions,coordinates.x,coordinates.y,bodyMapCoords,imageUrls,imageRefs,symptomIds,tags,category,createdAt,updatedAt,createdBy,contentStatus
LU-1,Middle Assembly,中府,LU,Lung,Twelve Primary Meridians,zhōng fǔ,Zhongfu,jung bu 중부,Trung phủ,,,,,,,,[],[],[],[],"[""seed-pending""]",General,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,system,pending-review
LU-2,Cloud Gate,雲門,LU,Lung,Twelve Primary Meridians,yún mén,Yunmen,un mun 운문,Vân môn,,,,,,,,[],[],[],[],"[""seed-pending""]",General,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,system,pending-review
LU-3,Upper Arm Assembly,天府,LU,Lung,Twelve Primary Meridians,tiān fǔ,Tianfu,cheon bu 천부,Thiên phủ,,,,,,,,[],[],[],[],"[""seed-pending""]",General,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,system,pending-review
LU-4,Supporting the Lung,俠白,LU,Lung,Twelve Primary Meridians,xiá bái,Xiabai,hyeop baek 협백,Hiệp bạch,,,,,,,,[],[],[],[],"[""seed-pending""]",General,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,system,pending-review
LU-5,Cubit Marsh,尺澤,LU,Lung,Twelve Primary Meridians,chǐ zé,Chize,cheok taek 척택,Xích trạch,,,,,,,,[],[],[],[],"[""seed-pending""]",General,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,system,pending-review
LU-6,Collection Hole,孔最,LU,Lung,Twelve Primary Meridians,kǒng zuì,Kongzui,gong choe 공최,Khổng tối,,,,,,,,[],[],[],[],"[""seed-pending""]",General,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,system,pending-review
LU-7,Interrupted Sequence,列缺,LU,Lung,Twelve Primary Meridians,liè quē,Lieque,yeol gyeol 열결,Liệt khuyết,,,,,,,,[],[],[],[],"[""seed-pending""]",General,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,system,pending-review
LU-8,Channel Ditch,經渠,LU,Lung,Twelve Primary Meridians,jīng qú,Jingqu,gyeong geo 경거,Kinh cừ,,,,,,,,[],[],[],[],"[""seed-pending""]",General,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,system,pending-review
LU-9,Great Deep Pool,太淵,LU,Lung,Twelve Primary Meridians,tài yuān,Taiyuan,tae yeon 태연,Thái uyên,,,,,,,,[],[],[],[],"[""seed-pending""]",General,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,system,pending-review
LU-10,Fish Border,魚際,LU,Lung,Twelve Primary Meridians,yú jì,Yuji,eo je 어제,Ngư tế,,,,,,,,[],[],[],[],"[""seed-pending""]",General,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,system,pending-review
